,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
100,1/190,DINOKWE,2326,BM,-23.424833333333336,26.735,27051.42,2591316.952,912.31,27.0,
101,1/191,DINOKWE,2326,BM,-23.413083333333333,26.72475,28101.452,2590017.613,920.63,27.0,
102,1/192,DINOKWE,2326,BM,-23.4025,26.7125,29355.842,2588847.963,922.91,27.0,
103,1/193,DINOKWE,2326,BM,-23.391694444444443,26.6975,30891.6,2587654.397,922.91,27.0,
122,1/208,MAHALAPYE,2324,BM,-23.20378138888889,24.792211444444447,21233.609,2566826.321,993.51,25.0,864
129,1/214,MAHALAPYE,2326,BM,-23.40151988888889,26.82414744444445,17943.851000000002,2588721.011,1006.53,27.0,864
135,1/22,,2525,BM,-25.361354527777777,25.628189916666667,-63264.639,2805937.484,1325.45,25.0,
140,1/224,MAHALAPYE,2326,BM,-23.029501083333333,26.86580013888889,13724.589,2547516.71,1046.27,27.0,864
146,1/23,,2525,BM,-25.353769722222225,25.62765461111111,-63214.70400000001,2805096.9680000003,1322.62,25.0,
233,1/67,ZWENSHAMBE,2425,BM,-24.84633597222222,25.830283972222222,-83959.91,2748994.238,1072.01,25.0,898
237,1/71,RAMOTSWA,2425,BM,-24.87040455555556,25.812224166666667,-82118.489,2751649.509,1037.07,25.0,898
244,1/78,RAMOTSWA,2425,BM,-24.78779230555556,25.83655975,-84634.05099999999,2742512.771,1011.23,25.0,898
402,101,TATI SIDING,2127,RM,-21.2303462524585,27.493426100845028,-51260.83,2348361.63,,27.0,30
403,103,TATI SIDING,2127,RM,-21.25756616156218,27.483157714289,-50185.629,2351372.221,,27.0,30
405,106,TATI SIDING,2127,RM,-21.26382822530739,27.45287438581385,-47040.421,2352056.268,,27.0,30
406,108,TATI SIDING,2127,RM,-21.229498159264345,27.44534144511305,-46269.289,2348252.919,,27.0,30/93
522,110,TATI SIDING,2127,RM,-21.225005735270845,27.44439498410699,-46172.431,2347755.2290000003,,27.0,30/93
523,111,TATI SIDING,2127,RM,-21.18565878519889,27.435473570882426,-45258.22,2343396.069,,27.0,30/93
524,112,TATI SIDING,2127,RM,-21.227580381484152,27.444803017520098,-46213.99,2348040.42,,27.0,30/93
525,112A,FRANCISTOWN,2127,RM,-21.22797725,27.49413266666667,-51326.24,2348105.33,994.89,27.0,927
526,131P,,2128,TRIG,-21.906887166666664,28.914251944444445,8837.38,2423196.15,741.58,29.0,
527,14T/1,SERULE,2127,BM,-21.935944444444445,27.308472222222225,-31897.594,2426446.222,945.53,27.0,
528,14T/11,MOTSOTSWANE,2127,BM,-21.95583333333333,27.479,-49507.942,2428693.869,935.09,27.0,
529,14T/12,MOTSOTSWANE,2127,BM,-21.954361111111112,27.499,-51574.407,2428537.4480000003,933.19,27.0,
530,14T/13,LETLHAKANE,2127,BM,-21.95630555555556,27.51925,-53665.46,2428759.721,923.64,27.0,
531,14T/14,LETLHAKANE,2127,BM,-21.960555555555555,27.53655555555556,-55451.417,2429236.503,914.02,27.0,
532,14T/16,LETLHAKANE,2127,BM,-21.968527777777776,27.5795,-59883.98,2430135.474,903.33,27.0,
534,14T/18,LETLHAKANE,2127,BM,-21.96538888888889,27.61480555555556,-63532.046,2429802.127,892.93,27.0,
535,14T/19,LETLHAKANE,2127,BM,-21.970444444444443,27.633111111111116,-65420.537,2430369.662,880.71,27.0,
536,14T/2,SERULE,2127,BM,-21.92344444444445,27.32161111111111,-33257.872,2425064.886,938.89,27.0,
537,14T/21,BRAY,2127,BM,-21.970118027777776,27.67143836111111,-69379.25200000001,2430349.894,868.9,27.0,940
543,14T/28,BRAY,2127,BM,-21.972049277777774,27.796881722222224,-82335.063,2430625.782,864.03,27.0,940
544,14T/3,SERULE,2127,BM,-21.93575,27.33636111111111,-34778.828,2426430.761,947.06,27.0,
